date,title,description
January 1,New Moon., The Moon will be directly between the Earth and the Sun and will not be visible from Earth. This phase occurs at 11:14 UTC. This is the best time of the month to observe faint objects such as galaxies and star clusters because there is no moonlight to interfere.
"January 2, 3",Quadrantids Meteor Shower. ,"The Quadrantids is an above average shower, with up to 40 meteors per hour at its peak. It is thought to be produced by dust grains left behind by an extinct comet known as 2003 EH1, which was discovered in 2003. The shower runs annually from January 1-5. It peaks this year on the night of the 2nd and  morning of the 3rd.  The thin crescent moon will set early in the evening  leaving dark skies for what could be an excellent show. Best viewing will be from a dark location after midnight. Meteors will radiate from the constellation Bootes, but can appear anywhere in the sky."
January 5,Jupiter at Opposition.," The giant planet will be at its closest approach to Earth and its face will be fully illuminated by the Sun. This is the best time to view and photograph Jupiter and its moons. A medium-sized telescope should be able to show you some of the details in Jupiter's cloud bands. A good pair of binoculars should allow you to see Jupiter's four largest moons, appearing as bright dots on either side of the planet. "
January 16,Full Moon., The Moon will be directly opposite the Earth from the Sun and will be fully illuminated as seen from Earth. This phase occurs at 04:52 UTC. This full moon was known by early Native American tribes as the Full Wolf Moon because this was the time of year when hungry wolf packs howled outside their camps. This moon has also been know as the Old Moon and the Moon After Yule.
January 30,New Moon., The Moon will be directly between the Earth and the Sun and will not be visible from Earth. This phase occurs at 21:38 UTC. This is the best time of the month to observe faint objects such as galaxies and star clusters because there is no moonlight to interfere.
February 14,Full Moon.," The Moon will be directly opposite the Earth from the Sun and will be fully illuminated as seen from Earth. This phase occurs at 23:53 UTC. This full moon was known by early Native American tribes as the Full Snow Moon because the heaviest snows usually fell during this time of the year. Since hunting is difficult, this moon has also been known by some tribes as the Full Hunger Moon."
March 1,New Moon., The Moon will be directly between the Earth and the Sun and will not be visible from Earth. This phase occurs at 08:00 UTC. This is the best time of the month to observe faint objects such as galaxies and star clusters because there is no moonlight to interfere.
March 16,Full Moon.," The Moon will be directly opposite the Earth from the Sun and will be fully illuminated as seen from Earth. This phase occurs at 17:08 UTC. This full moon was known by early Native American tribes as the Full Worm Moon because this was the time of year when the ground would begin to soften and the earthworms would reappear. This moon has also been known as the Full Crow Moon, the Full Crust Moon, and the Full Sap Moon."
March 20,March Equinox., The March equinox occurs at 16:57 UTC. The Sun will shine directly on the equator and there will be nearly equal amounts of day and night throughout the world. This is also the first day of spring (vernal equinox) in the Northern Hemisphere and the first day of fall (autumnal equinox) in the Southern Hemisphere.
March 20,Occultation of Regulus.," An extremely rare event will take place on the morning of Thursday, March 20. An asteroid known as 163 Erigone will pass in front of the bright star Regulus in the constellation of Leo, causing the star to disappear. This event will be visible along a 45-mile-wide path and is predicted to begin at 2:07 a.m. EDT. The asteroid’s shadow will move on a southeast-to-northwest path that will extend from New York City to Oswego in New York State and continue northwest into Ontario, Canada. For those in the center of this path, the star will remain invisible for 12 seconds. ("
March 30,New Moon., The Moon will be directly between the Earth and the Sun and will not be visible from Earth. This phase occurs at 18:45 UTC. This is the best time of the month to observe faint objects such as galaxies and star clusters because there is no moonlight to interfere.
April 8,Mars at Opposition., The red planet will be at its closest approach to Earth and its face will be fully illuminated by the Sun. This is the best time to view and photograph Mars. A medium-sized telescope will allow you to see some of the dark details on the planet's orange surface. You may even be able to see one or both of the bright white polar ice caps.
April 15,Full Moon.," The Moon will be directly opposite the Earth from the Sun and will be fully illuminated as seen from Earth. This phase occurs at 07:42 UTC. This full moon was known by early Native American tribes as the Full Pink Moon because it marked the appearance of the moss pink, or wild ground phlox, which is one of the first spring flowers. This moon has also been known as the Sprouting Grass Moon and the Growing Moon."
April 15,Total Lunar Eclipse.," A total lunar eclipse occurs when the Moon passes completely through the Earth's dark shadow, or umbra. During this type of eclipse, the Moon will gradually get darker and then take on a rusty or blood red color. The eclipse will be visible throughout most of North America, South America, and Australia. ("
"April 22, 23",Lyrids Meteor Shower.," The Lyrids is an average shower, usually producing about 20 meteors per hour at its peak. It is produced by dust particles left behind by comet C/1861 G1 Thatcher, which was discovered in 1861. The shower runs annually from April 16-25. It peaks this year on the night of the night of the 22nd and morning of the 23rd. These meteors can sometimes produce bright dust trails that last for several seconds.  The second quarter moon will be a slight problem this year, blocking the less bright meteors from view. Best viewing will be from a dark location after midnight. Meteors will radiate from the constellation Lyra, but can appear anywhere in the sky."
April 29,New Moon., The Moon will be directly between the Earth and the Sun and will not be visible from Earth. This phase occurs at 06:14 UTC. This is the best time of the month to observe faint objects such as galaxies and star clusters because there is no moonlight to interfere.
April 29,Annular Solar Eclipse.,  An annular solar eclipse occurs when the Moon is too far away from the Earth to completely cover the Sun. This results in a ring of light around the darkened Moon. The Sun's corona is not visible during an annular eclipse. The path of the eclipse will begin off the coast of South Africa and move across Antarctica and into the east coast of Australia. (
"May 5, 6",Eta Aquarids Meteor Shower. ,"The Eta Aquarids is an above average shower, capable of producing up to 60 meteors per hour at its peak. Most of the activity is seen in the Southern Hemisphere. In the Northern Hemisphere, the rate can reach about 30 meteors per hour. It is produced by dust particles left behind by comet Halley, which has known and observed since ancient times. The shower runs annually from April 19 to May 28. It peaks this year on the night of May 5 and the morning of the May 6. The first quarter moon will set just after midnight leaving fairly dark skies for what should be a good show. Best viewing will be from a dark location after midnight. Meteors will radiate from the constellation Aquarius, but can appear anywhere in the sky."
May 10,Saturn at Opposition., The ringed planet will be at its closest approach to Earth and its face will be fully illuminated by the Sun. This is the best time to view and photograph Saturn and its moons. A medium-sized or larger telescope will allow you to see Saturn's rings and a few of its brightest moons.
May 10,Astronomy Day Part 1.," Astronomy Day is an annual event intended to provide a means of interaction between the general public and various astronomy enthusiasts, groups and professionals.  The theme of Astronomy Day is ""Bringing Astronomy to the People,"" and on this day astronomy and stargazing clubs and other organizations around the world will plan special events. You can find out about special local events by contacting your local astronomy club or planetarium. You can also find more about Astronomy Day by checking the Web site for the "
May 14,Full Moon., The Moon will be directly opposite the Earth from the Sun and will be fully illuminated as seen from Earth. This phase occurs at 19:16 UTC. This full moon was known by early Native American tribes as the Full Flower Moon because this was the time of year when spring flowers appeared in abundance. This moon has also been known as the Full Corn Planting Moon and the Milk Moon.
May 24,Possible Meteor Storm.," In the early morning hours of Saturday, May 24, the Earth will pass through the debris field left behind by a small comet known as P/209 LINEAR. Astronomers are predicting that this interaction may result in a brief but intense burst of meteor activity that could range from dozens to hundreds of meteors per hour. Nothing is certain, but many mathematical models are predicting that this could be the most intense meteor shower in more than a decade."
